folio,fecha,hora_inicio,hora_fin,duracion_min,encuestador_id,encuestador_nombre,seccion,satisfaccion_amlo,satisfaccion_cs,programas_bienestar,sabia_designacion,conoce_ivan,opinion_ivan,cercania_ivan,representa_4t,intencion_voto,descripcion_ivan,prioridad_gobernador,edad,sexo,nivel_educativo,recibe_bienestar
IGU-3072,2025-06-10,12:43,13:01,18.1,E33,Laura Torres,1552,Satisfecho,Muy satisfecho,Mucho,No sabe / No contesta,No,No aplica,No sabe / No contesta,En parte,Probablemente sí,No tengo una opinión clara,Programas sociales,18,Mujer,Universidad,Sí
IGU-3073,2025-06-10,14:07,14:20,13.6,E33,Laura Torres,1545,Regular,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,No sabe / No contesta,Probablemente no,No lo conozco bien,Seguridad,51,Mujer,Posgrado,No
IGU-3074,2025-06-10,13:47,14:04,17.9,E33,Laura Torres,1561,Insatisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Seguridad,27,Hombre,Secundaria,Sí
IGU-3075,2025-06-10,15:29,15:39,10.8,E33,Laura Torres,1545,Satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No sabe / No contesta,"Sí, con seguridad",Es un operador del gobierno federal,Educación,56,Hombre,Posgrado,Sí
IGU-3076,2025-06-10,12:08,12:26,18.5,E33,Laura Torres,1545,Regular,Regular,Mucho,"Sí, lo sabía",No,No aplica,Algo cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Empleo / economía,73,Mujer,Primaria,No
IGU-3077,2025-06-10,15:42,15:57,15.3,E33,Laura Torres,1545,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Seguridad,20,Mujer,Preparatoria,No
IGU-3078,2025-06-10,13:53,14:07,14.7,E33,Laura Torres,1545,Satisfecho,Satisfecho,Algo,No sabe / No contesta,No,No aplica,Poco cercano,En parte,Probablemente no,No lo conozco bien,Infraestructura,73,Mujer,Secundaria,No
IGU-3079,2025-06-10,15:33,15:46,13.7,E33,Laura Torres,1513,Muy satisfecho,Regular,Mucho,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Infraestructura,18,Mujer,Universidad,Sí
IGU-3080,2025-06-10,13:54,14:06,12.3,E33,Laura Torres,1514,Regular,Regular,Algo,"No lo sabía, pero me parece bien",Sí,Muy buena,Muy cercano,No sabe / No contesta,No,Es una persona de trabajo y territorio,Empleo / economía,21,Mujer,Primaria,Sí
IGU-3081,2025-06-10,14:22,14:38,16.6,E33,Laura Torres,1545,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Seguridad,26,Hombre,Secundaria,Sí
IGU-3082,2025-06-10,11:26,11:39,13.4,E33,Laura Torres,1545,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Seguridad,58,Hombre,Secundaria,Sí
IGU-3083,2025-06-10,15:14,15:21,7.1,E33,Laura Torres,1545,Regular,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Educación,19,Mujer,Preparatoria,Sí
IGU-3084,2025-06-10,12:16,12:25,9.6,E55,Alma Figueroa,1532,Satisfecho,Insatisfecho,Poco,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,71,Hombre,Preparatoria,Sí
IGU-3085,2025-06-10,16:47,16:59,12.4,E55,Alma Figueroa,1532,Muy satisfecho,Regular,Mucho,"Sí, lo sabía",Sí,Buena,Poco cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Educación,75,Hombre,Preparatoria,Sí
IGU-3086,2025-06-10,16:39,16:52,13.9,E55,Alma Figueroa,1532,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Programas sociales,38,Hombre,Secundaria,Sí
IGU-3087,2025-06-10,12:15,12:27,12.8,E55,Alma Figueroa,1532,Satisfecho,Regular,Mucho,No lo sabía y no me interesa,Sí,No sabe / No contesta,Muy cercano,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Empleo / economía,56,Hombre,Secundaria,Sí
IGU-3088,2025-06-10,11:34,11:50,16.7,E55,Alma Figueroa,1532,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente no,No lo conozco bien,Seguridad,31,Mujer,Preparatoria,Sí
IGU-3089,2025-06-10,12:02,12:09,7.1,E55,Alma Figueroa,1532,Regular,Satisfecho,Mucho,No lo sabía y no me interesa,Sí,Buena,Algo cercano,"Sí, totalmente",Probablemente sí,No tengo una opinión clara,Programas sociales,39,Hombre,Universidad,Sí
IGU-3090,2025-06-10,10:11,10:24,13.4,E55,Alma Figueroa,1562,Regular,Regular,Poco,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No,Probablemente sí,No lo conozco bien,Seguridad,34,Mujer,Secundaria,No
IGU-3091,2025-06-10,14:28,14:35,7.5,E55,Alma Figueroa,1532,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,"Sí, con seguridad",Es un operador del gobierno federal,Seguridad,30,Mujer,Universidad,No
IGU-3092,2025-06-10,11:13,11:28,15.3,E19,José Salinas,1562,Insatisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Mala,Muy cercano,En parte,"Sí, con seguridad",No lo conozco bien,Salud,59,Hombre,Primaria,Sí
IGU-3093,2025-06-10,14:09,14:21,12.7,E19,José Salinas,1524,Satisfecho,Muy satisfecho,Poco,No sabe / No contesta,Sí,Muy buena,No sabe / No contesta,No,"Sí, con seguridad",No lo conozco bien,Salud,34,Mujer,Universidad,Sí
IGU-3094,2025-06-10,15:33,15:47,14.3,E19,José Salinas,1562,Satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,"Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,30,Hombre,Universidad,No
IGU-3095,2025-06-10,14:14,14:24,10.4,E19,José Salinas,1562,Regular,Regular,Nada,"No lo sabía, pero me parece bien",Sí,Muy buena,Muy cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Programas sociales,48,Hombre,Preparatoria,Sí
IGU-3096,2025-06-10,09:48,10:04,16.8,E19,José Salinas,1562,Regular,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,38,Mujer,Secundaria,Sí
IGU-3097,2025-06-10,16:10,16:26,16.1,E19,José Salinas,1562,Muy satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,No,No,Es un operador del gobierno federal,Empleo / economía,22,Mujer,Secundaria,Sí
IGU-3098,2025-06-10,11:52,12:06,14.8,E19,José Salinas,1562,Insatisfecho,Satisfecho,Algo,No sabe / No contesta,Sí,Buena,Poco cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Educación,74,Mujer,Secundaria,No
IGU-3099,2025-06-10,10:48,11:00,12.6,E13,Raúl Herrera,1486,Muy satisfecho,Regular,Mucho,"Sí, lo sabía",Sí,Buena,Poco cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Salud,24,Mujer,Primaria,No
IGU-3100,2025-06-10,10:18,10:32,14.7,E13,Raúl Herrera,1561,Muy satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Algo cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Seguridad,25,Mujer,Preparatoria,No
IGU-3101,2025-06-10,13:00,13:10,10.9,E13,Raúl Herrera,1561,Insatisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,En parte,Probablemente sí,No tengo una opinión clara,Salud,70,Hombre,Secundaria,No
IGU-3102,2025-06-10,14:03,14:18,15.6,E13,Raúl Herrera,1561,Regular,Regular,Poco,No lo sabía y no me interesa,Sí,Buena,Algo cercano,No,No,Es una persona de trabajo y territorio,Empleo / economía,30,Hombre,Secundaria,No
IGU-3103,2025-06-10,14:46,15:03,17.9,E13,Raúl Herrera,1561,Satisfecho,Regular,Algo,No lo sabía y no me interesa,Sí,Regular,Muy cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Educación,50,Hombre,Secundaria,No
IGU-3104,2025-06-10,14:31,14:47,16.2,E13,Raúl Herrera,1561,Muy satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,Regular,Muy cercano,No sabe / No contesta,No,No lo conozco bien,Programas sociales,33,Mujer,Primaria,Sí
IGU-3105,2025-06-10,11:23,11:33,10.8,E13,Raúl Herrera,1538,Satisfecho,Satisfecho,Poco,"Sí, lo sabía",No,No aplica,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Seguridad,53,Mujer,Posgrado,Sí
IGU-3106,2025-06-10,14:32,14:46,14.1,E13,Raúl Herrera,1561,Muy satisfecho,Insatisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,En parte,No sabe / No contesta,No tengo una opinión clara,Educación,35,Mujer,Preparatoria,Sí
IGU-3107,2025-06-10,16:36,16:45,9.1,E13,Raúl Herrera,1561,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Programas sociales,36,Hombre,Secundaria,Sí
IGU-3108,2025-06-10,11:51,12:05,14.7,E13,Raúl Herrera,1533,Satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,38,Hombre,Primaria,No
IGU-3109,2025-06-10,11:22,11:36,14.4,E13,Raúl Herrera,1561,Regular,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",No,No lo conozco bien,Educación,24,Mujer,Universidad,No
IGU-3110,2025-06-10,13:26,13:33,7.4,E13,Raúl Herrera,1561,Regular,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,21,Hombre,Secundaria,Sí
IGU-3111,2025-06-10,16:35,16:44,9.5,E13,Raúl Herrera,1561,Muy satisfecho,Regular,Nada,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Educación,62,Hombre,Secundaria,No
IGU-3112,2025-06-10,10:13,10:25,12.2,E01,Carlos Mendoza,1515,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Mala,Algo cercano,"Sí, totalmente",Probablemente sí,No lo conozco bien,Educación,23,Mujer,Universidad,Sí
IGU-3113,2025-06-10,13:15,13:27,12.1,E01,Carlos Mendoza,1515,Satisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Muy buena,Poco cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,58,Mujer,Secundaria,Sí
IGU-3114,2025-06-10,15:00,15:09,9.4,E01,Carlos Mendoza,1515,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Mala,Muy cercano,No,No,Es una persona de trabajo y territorio,Educación,37,Hombre,Preparatoria,No
IGU-3115,2025-06-10,13:48,14:02,14.2,E01,Carlos Mendoza,1515,Satisfecho,Satisfecho,Nada,No lo sabía y no me interesa,No,No aplica,Poco cercano,No sabe / No contesta,Probablemente no,Es un operador del gobierno federal,Programas sociales,56,Hombre,Secundaria,Sí
IGU-3116,2025-06-10,09:45,09:58,13.8,E01,Carlos Mendoza,1515,Satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,No sabe / No contesta,"Sí, con seguridad",Es una persona de trabajo y territorio,Programas sociales,24,Hombre,Preparatoria,Sí
IGU-3117,2025-06-10,15:47,15:59,12.4,E01,Carlos Mendoza,1515,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,En parte,Probablemente no,No lo conozco bien,Salud,74,Hombre,Primaria,Sí
IGU-3118,2025-06-10,15:39,15:49,10.7,E01,Carlos Mendoza,1515,Muy satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,No sabe / No contesta,En parte,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,54,Hombre,Secundaria,No
IGU-3119,2025-06-10,09:03,09:19,16.1,E01,Carlos Mendoza,1555,Insatisfecho,Insatisfecho,Algo,No sabe / No contesta,Sí,No sabe / No contesta,Algo cercano,No,No sabe / No contesta,Es una persona de trabajo y territorio,Programas sociales,22,Hombre,Preparatoria,Sí
IGU-3120,2025-06-10,12:12,12:30,18.0,E01,Carlos Mendoza,1515,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Salud,64,Mujer,Universidad,Sí
IGU-3121,2025-06-10,15:38,15:49,11.5,E01,Carlos Mendoza,1515,Regular,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Poco cercano,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Empleo / economía,62,Hombre,Preparatoria,Sí
IGU-3122,2025-06-10,11:51,12:02,11.2,E01,Carlos Mendoza,1515,Satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,19,Mujer,Preparatoria,No
IGU-3123,2025-06-10,13:11,13:25,14.5,E01,Carlos Mendoza,1527,Satisfecho,Regular,Poco,No sabe / No contesta,No,No aplica,Muy cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,40,Hombre,Preparatoria,No
IGU-3124,2025-06-10,15:48,15:59,11.9,E45,Carmen Mendez,1547,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,Probablemente no,No lo conozco bien,Programas sociales,65,Mujer,Universidad,No
IGU-3125,2025-06-10,10:22,10:34,12.6,E45,Carmen Mendez,1547,Satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Seguridad,33,Hombre,Preparatoria,Sí
IGU-3126,2025-06-10,11:23,11:38,15.2,E45,Carmen Mendez,1547,Muy satisfecho,Muy satisfecho,Nada,No sabe / No contesta,No,No aplica,Algo cercano,En parte,No,No tengo una opinión clara,Empleo / economía,71,Hombre,Universidad,Sí
IGU-3127,2025-06-10,09:00,09:07,7.3,E45,Carmen Mendez,1547,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Regular,Poco cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,47,Mujer,Preparatoria,Sí
IGU-3128,2025-06-10,15:38,15:55,17.0,E45,Carmen Mendez,1558,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Poco cercano,En parte,Probablemente sí,No lo conozco bien,Seguridad,26,Hombre,Universidad,Sí
IGU-3129,2025-06-10,12:47,13:00,13.2,E45,Carmen Mendez,1547,Satisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Buena,Muy cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Seguridad,61,Mujer,Preparatoria,No
IGU-3130,2025-06-10,13:36,13:47,11.8,E45,Carmen Mendez,1547,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,Sí,Regular,Algo cercano,No,Probablemente sí,No lo conozco bien,Educación,66,Mujer,Primaria,Sí
IGU-3131,2025-06-10,11:52,12:04,12.7,E45,Carmen Mendez,1547,Insatisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,No sabe / No contesta,En parte,Probablemente no,No tengo una opinión clara,Educación,73,Mujer,Preparatoria,No
IGU-3132,2025-06-10,14:02,14:14,12.9,E45,Carmen Mendez,1547,Regular,Regular,Mucho,No sabe / No contesta,Sí,Muy buena,Poco cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Educación,23,Hombre,Secundaria,Sí
IGU-3133,2025-06-10,15:22,15:29,7.8,E52,Graciela Domínguez,1507,Muy satisfecho,Satisfecho,Poco,No sabe / No contesta,No,No aplica,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,64,Hombre,Secundaria,Sí
IGU-3134,2025-06-10,14:39,14:56,17.5,E52,Graciela Domínguez,1507,Muy satisfecho,Insatisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Algo cercano,En parte,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,69,Mujer,Posgrado,Sí
IGU-3135,2025-06-10,14:04,14:17,13.1,E52,Graciela Domínguez,1485,Muy satisfecho,Insatisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente no,Es una persona de trabajo y territorio,Salud,54,Mujer,Preparatoria,Sí
IGU-3136,2025-06-10,14:28,14:42,14.3,E52,Graciela Domínguez,1507,Insatisfecho,Satisfecho,Poco,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,No sabe / No contesta,No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,47,Hombre,Preparatoria,Sí
IGU-3137,2025-06-10,16:10,16:25,15.9,E52,Graciela Domínguez,1507,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No sabe / No contesta,No,Es un operador del gobierno federal,Seguridad,19,Hombre,Universidad,No
IGU-3138,2025-06-10,09:11,09:20,9.9,E52,Graciela Domínguez,1507,Muy satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,Buena,No sabe / No contesta,No sabe / No contesta,Probablemente sí,Es una persona de trabajo y territorio,Salud,41,Mujer,Universidad,Sí
IGU-3139,2025-06-10,16:43,16:57,14.4,E52,Graciela Domínguez,1507,Regular,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente no,Es un operador del gobierno federal,Seguridad,30,Hombre,Primaria,Sí
IGU-3140,2025-06-10,15:19,15:31,12.2,E52,Graciela Domínguez,1507,Muy satisfecho,Insatisfecho,Algo,"Sí, lo sabía",Sí,Mala,Muy cercano,No,Probablemente no,No lo conozco bien,Educación,27,Hombre,Preparatoria,No
IGU-3141,2025-06-10,13:03,13:18,15.5,E52,Graciela Domínguez,1507,Satisfecho,Muy satisfecho,Mucho,No sabe / No contesta,Sí,Buena,No sabe / No contesta,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Seguridad,44,Mujer,Preparatoria,Sí
IGU-3142,2025-06-10,13:09,13:15,6.6,E52,Graciela Domínguez,1507,Satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Regular,Algo cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Educación,41,Hombre,Preparatoria,Sí
IGU-3143,2025-06-10,13:35,13:47,12.7,E15,Víctor Ramos,1490,Satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,"Sí, totalmente",Probablemente no,Es un operador del gobierno federal,Salud,38,Hombre,Preparatoria,Sí
IGU-3144,2025-06-10,14:21,14:32,11.2,E15,Víctor Ramos,1490,Muy satisfecho,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Buena,Algo cercano,En parte,"Sí, con seguridad",Es un operador del gobierno federal,Programas sociales,19,Hombre,Preparatoria,Sí
IGU-3145,2025-06-10,16:00,16:14,14.3,E15,Víctor Ramos,1490,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,En parte,Probablemente no,No lo conozco bien,Programas sociales,46,Mujer,Universidad,No
IGU-3146,2025-06-10,14:59,15:13,14.4,E15,Víctor Ramos,1481,Muy satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No sabe / No contesta,Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,23,Mujer,Secundaria,Sí
IGU-3147,2025-06-10,09:32,09:42,10.9,E15,Víctor Ramos,1509,Muy satisfecho,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Muy buena,Poco cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,64,Hombre,Preparatoria,Sí
IGU-3148,2025-06-10,16:09,16:19,10.9,E15,Víctor Ramos,1562,Satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,En parte,Probablemente no,Es un operador del gobierno federal,Seguridad,75,Mujer,Secundaria,No
IGU-3149,2025-06-10,15:17,15:29,12.7,E15,Víctor Ramos,1529,Muy satisfecho,Insatisfecho,Nada,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,No,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,68,Mujer,Secundaria,Sí
IGU-3150,2025-06-10,09:02,09:12,10.3,E15,Víctor Ramos,1490,Insatisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Muy buena,Muy cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Programas sociales,56,Mujer,Primaria,No
IGU-3151,2025-06-10,15:57,16:12,15.5,E39,Isabel Zamora,1553,Regular,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Programas sociales,30,Hombre,Preparatoria,No
IGU-3152,2025-06-10,11:03,11:14,11.9,E39,Isabel Zamora,1553,Satisfecho,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Seguridad,56,Mujer,Universidad,Sí
IGU-3153,2025-06-10,16:36,16:41,5.0,E39,Isabel Zamora,1553,Muy satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,En parte,Probablemente sí,No lo conozco bien,Seguridad,37,Hombre,Preparatoria,Sí
IGU-3154,2025-06-10,15:11,15:22,11.9,E39,Isabel Zamora,1553,Muy satisfecho,Muy satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Poco cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,72,Hombre,Secundaria,No
IGU-3155,2025-06-10,13:49,13:58,9.9,E39,Isabel Zamora,1553,Satisfecho,Satisfecho,Nada,"Sí, lo sabía",No,No aplica,Algo cercano,No sabe / No contesta,No sabe / No contesta,Es una persona de trabajo y territorio,Programas sociales,61,Hombre,Primaria,No
IGU-3156,2025-06-10,11:36,11:44,8.1,E39,Isabel Zamora,1553,Satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",Sí,Muy buena,Muy cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Empleo / economía,24,Otro,Preparatoria,Sí
IGU-3157,2025-06-10,09:16,09:25,9.3,E39,Isabel Zamora,1529,Muy satisfecho,Regular,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Educación,46,Hombre,Secundaria,Sí
IGU-3158,2025-06-10,10:21,10:34,13.3,E39,Isabel Zamora,1553,Insatisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Mala,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Seguridad,52,Hombre,Secundaria,No
IGU-3159,2025-06-10,10:46,11:03,17.0,E39,Isabel Zamora,1487,Muy satisfecho,Insatisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Salud,33,Hombre,Secundaria,Sí
IGU-3160,2025-06-10,15:20,15:33,13.9,E39,Isabel Zamora,1560,Muy satisfecho,Satisfecho,Nada,"No lo sabía, pero me parece bien",Sí,Muy buena,Algo cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Seguridad,40,Mujer,Secundaria,Sí
IGU-3161,2025-06-10,14:15,14:26,11.2,E39,Isabel Zamora,1553,Muy satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",Sí,Muy buena,No sabe / No contesta,No,Probablemente sí,No lo conozco bien,Empleo / economía,21,Hombre,Universidad,No
IGU-3162,2025-06-10,15:58,16:12,14.4,E39,Isabel Zamora,1553,Satisfecho,Regular,Mucho,No sabe / No contesta,No,No aplica,Poco cercano,En parte,No,Es un operador del gobierno federal,Programas sociales,46,Hombre,Secundaria,Sí
IGU-3163,2025-06-10,12:32,12:43,11.6,E39,Isabel Zamora,1553,Regular,Regular,Mucho,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Programas sociales,45,Mujer,Preparatoria,Sí
IGU-3164,2025-06-10,13:22,13:32,10.9,E39,Isabel Zamora,1553,Muy satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Algo cercano,No,Probablemente no,Es un operador del gobierno federal,Empleo / economía,61,Hombre,Universidad,Sí
IGU-3165,2025-06-10,12:19,12:28,9.5,E35,Sandra Moreno,1505,Muy satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,No sabe / No contesta,No sabe / No contesta,Es un operador del gobierno federal,Educación,19,Hombre,Secundaria,Sí
IGU-3166,2025-06-10,14:26,14:33,7.7,E35,Sandra Moreno,1505,Muy satisfecho,Insatisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente no,No lo conozco bien,Programas sociales,25,Mujer,Secundaria,No
IGU-3167,2025-06-10,15:04,15:15,11.8,E35,Sandra Moreno,1505,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Salud,50,Hombre,Preparatoria,No
IGU-3168,2025-06-10,09:28,09:41,13.5,E35,Sandra Moreno,1497,Satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,En parte,No,Es un operador del gobierno federal,Empleo / economía,36,Hombre,Primaria,Sí
IGU-3169,2025-06-10,09:47,09:59,12.7,E35,Sandra Moreno,1505,Muy satisfecho,Regular,Mucho,No lo sabía y no me interesa,Sí,Regular,No sabe / No contesta,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,54,Hombre,Secundaria,Sí
IGU-3170,2025-06-10,14:22,14:33,11.8,E35,Sandra Moreno,1505,Regular,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,No sabe / No contesta,"Sí, con seguridad",Es un operador del gobierno federal,Seguridad,40,Hombre,Preparatoria,No
IGU-3171,2025-06-10,10:42,10:52,10.2,E35,Sandra Moreno,1505,Muy satisfecho,Satisfecho,Poco,"Sí, lo sabía",Sí,Regular,Poco cercano,"Sí, totalmente",No sabe / No contesta,No tengo una opinión clara,Programas sociales,45,Mujer,Secundaria,No
